Jahr	Entn.	Floor	Rente1	Rente2	RenteSum	FloorDep	Flex%	Flex€	Entn_real	Adj%	Markt	Status	Quote%	Runway%	Pf.Akt%	Pf.Gld%	Infl.	Handl.A	Handl.G	St.	Aktien	Gold	Liq.	Liq@rC-	Zins€	Liq@rC+	ZielLiq	NeedLiq	GuardG	GuardA	GuardNote	Akt_vorR	Akt_nachR	Akt_nachV	Akt_nachK	Gld_vorR	Gld_nachR	Gld_nachV	Gld_nachK
2012	63k €	52k €	15k €	10k €	25k €	27k €	62%	36k €	63k €	2.9%	Tiefer Bär	Runway-Notfüllu	4.5%	127%	14.6%	7.6%	2.5%	0 €	70k €	0 €	1470k €	6k €	108k €	100k €	1k €	108k €	134k €	82k €	0 €	0 €		1283k €	1470k €	1470k €	1470k €	70k €	76k €	6k €	6k €
2013	84k €	54k €	16k €	10k €	26k €	28k €	96%	56k €	84k €	2.4%	Seitwärts La	Opportunistisch	3.5%	105%	23.6%	4.0%	2.1%	110k €	0 €	0 €	1706k €	6k €	135k €	108k €	1k €	135k €	246k €	84k €	0 €	0 €		1470k €	1816k €	1706k €	1706k €	6k €	6k €	6k €	6k €
2014	84k €	55k €	16k €	10k €	27k €	28k €	93%	56k €	84k €	2.8%	Markt heiß g	Opportunistisch	4.2%	102%	18.3%	-22.8%	1.6%	150k €	0 €	3k €	1869k €	4k €	198k €	135k €	493 €	198k €	313k €	85k €	0 €	0 €		1706k €	2019k €	1869k €	1869k €	6k €	4k €	4k €	4k €
2015	87k €	56k €	17k €	11k €	27k €	29k €	96%	58k €	87k €	2.9%	Stabiler Höc	Opportunistisch	4.2%	107%	9.1%	-0.6%	0.9%	50k €	0 €	957 €	1989k €	4k €	160k €	198k €	80 €	160k €	268k €	86k €	0 €	0 €		1869k €	2039k €	1989k €	1989k €	4k €	4k €	4k €	4k €
2016	87k €	56k €	17k €	11k €	28k €	28k €	96%	59k €	87k €	2.5%	Stabiler Höc	Opportunistisch	4.1%	103%	7.7%	-10.0%	0.7%	80k €	0 €	3k €	2062k €	4k €	150k €	160k €	75 €	150k €	269k €	85k €	0 €	0 €		1989k €	2142k €	2062k €	2062k €	4k €	4k €	4k €	4k €
2017	87k €	57k €	17k €	11k €	29k €	28k €	96%	59k €	87k €	2.6%	Stabiler Höc	Opportunistisch	4.0%	102%	6.6%	11.7%	0.4%	90k €	0 €	4k €	2107k €	4k €	150k €	150k €	0 €	150k €	269k €	84k €	0 €	0 €		2062k €	2197k €	2107k €	2107k €	4k €	4k €	4k €	4k €
2018	87k €	57k €	18k €	12k €	30k €	27k €	96%	60k €	87k €	3.1%	Seitwärts La	Opportunistisch	4.3%	103%	-4.6%	-0.4%	1.7%	80k €	0 €	3k €	1930k €	4k €	140k €	150k €	0 €	140k €	258k €	82k €	0 €	0 €		2107k €	2010k €	1930k €	1930k €	4k €	4k €	4k €	4k €
2019	87k €	58k €	18k €	12k €	30k €	27k €	94%	60k €	87k €	2.8%	Markt heiß g	Opportunistisch	3.6%	103%	27.7%	-4.3%	1.9%	210k €	0 €	15k €	2254k €	4k €	248k €	140k €	0 €	248k €	363k €	82k €	0 €	0 €		1930k €	2464k €	2254k €	2254k €	4k €	4k €	4k €	4k €
2020	90k €	59k €	19k €	12k €	31k €	28k €	97%	62k €	90k €	1.2%	Stabiler Höc	Opportunistisch	3.7%	101%	5.4%	19.4%	1.4%	0 €	0 €	0 €	2375k €	5k €	158k €	248k €	0 €	158k €	276k €	83k €	0 €	0 €		2254k €	2375k €	2375k €	2375k €	4k €	5k €	5k €	5k €
2021	90k €	60k €	19k €	12k €	32k €	28k €	95%	62k €	90k €	3.0%	Markt heiß g	Opportunistisch	2.9%	103%	32.4%	13.9%	0.5%	210k €	0 €	19k €	2936k €	6k €	258k €	158k €	0 €	258k €	374k €	84k €	0 €	0 €		2375k €	3146k €	2936k €	2936k €	5k €	6k €	6k €	6k €
2022	90k €	60k €	20k €	13k €	33k €	27k €	95%	63k €	90k €	4.0%	Seitwärts La	Opportunistisch	3.5%	104%	-13.2%	-5.2%	3.1%	46k €	-44k €	2k €	2501k €	49k €	167k €	258k €	0 €	167k €	249k €	82k €	0 €	0 €		2936k €	2547k €	2501k €	2501k €	6k €	5k €	5k €	49k €
2023	93k €	62k €	21k €	13k €	34k €	28k €	96%	65k €	93k €	6.0%	Markt heiß g	Opportunistisch	3.1%	105%	18.3%	5.7%	6.9%	120k €	0 €	10k €	2838k €	52k €	186k €	167k €	2k €	186k €	300k €	84k €	0 €	0 €		2501k €	2958k €	2838k €	2838k €	49k €	52k €	52k €	52k €
2024	99k €	66k €	22k €	14k €	36k €	30k €	95%	69k €	99k €	3.0%	Stabiler Höc	Opportunistisch	3.2%	105%	7.8%	12.1%	5.9%	110k €	0 €	10k €	2949k €	58k €	193k €	186k €	7k €	193k €	308k €	91k €	0 €	0 €		2838k €	3059k €	2949k €	2949k €	52k €	58k €	58k €	58k €
